class,video,PSD_Delta,PSD_Theta,PSD_Alpha,PSD_Beta,PSD_Gamma
1,1,1.125770118414008e-08,1.515739094103059e-08,1.973157145603802e-08,6.257126096400568e-09,3.265799852514828e-09
1,2,2.371777298699208e-07,2.26347687826487e-08,1.632558228718374e-08,4.732580567483773e-09,4.0166482846771815e-09
1,3,2.6409101230314205e-08,8.542365605577193e-09,6.136728317746978e-09,4.209153011553386e-09,3.848692267974379e-09
1,4,5.350295386414754e-08,8.725682608950617e-09,4.308284659981336e-09,2.7378759608608703e-09,2.7454164212134876e-09
1,5,2.4911479298379013e-07,1.5125986175243773e-08,1.8409333643357347e-08,3.525074533903804e-09,2.6085905001915644e-09
2,1,1.5274758613228732e-07,1.1632651090387291e-08,1.6507879741749987e-08,3.6341430601414272e-09,5.1177168268599655e-09
2,2,5.987526971673668e-08,1.250756819891197e-08,7.642484926065221e-09,5.701227433085438e-09,4.113508319171763e-09
2,3,8.075530487019158e-08,1.8746509431357873e-08,1.001280005805357e-08,1.5980948638654467e-08,6.124532969926677e-09
2,4,4.520765005390656e-08,1.088805685278325e-08,4.075188904110832e-09,6.033110723717923e-09,2.8727623467113365e-09
2,5,2.7726072174848686e-08,2.2732648311436726e-08,8.528582796724433e-09,7.405888675379324e-09,4.096453903555879e-09
3,1,1.034404640300235e-07,2.16021209618714e-08,5.7268193888480495e-09,5.009160291844889e-09,4.327248397363615e-09
3,2,7.917368860362968e-08,9.273211568450406e-09,9.510588090648051e-09,5.968376999681108e-09,3.940914362195686e-09
3,3,8.458814967781829e-08,6.037339764949603e-08,2.4087936455969135e-08,4.100489290619698e-09,3.908873295007108e-09
3,4,1.468773200268658e-08,1.8672038336750077e-08,9.671563166322768e-09,7.806411443937041e-09,3.782293083806443e-09
3,5,1.7522282406891696e-07,2.344435882476732e-08,3.6016016933062884e-09,5.123889660492944e-09,2.584225670980485e-09
4,1,7.280810173166798e-08,1.1440577598930352e-08,5.2718379123835055e-09,6.353357925248348e-09,6.268844726113753e-09
4,2,4.3573984562144486e-07,4.248002096575458e-08,1.1597583396476846e-08,4.361860602290449e-09,3.3495454941795015e-09
4,3,1.802582901570351e-08,8.325306265558635e-09,3.255058348396015e-09,2.1159838657567976e-09,3.7814214690432714e-09
4,4,1.4530570075544178e-07,1.685841263495522e-08,5.142048633568445e-09,4.644211233858644e-09,2.7690337878775886e-09
4,5,3.3529914237757485e-08,9.576402284356789e-09,1.0593450124340642e-08,3.647806885505858e-09,4.442763686453235e-09
5,1,7.938360949520802e-07,2.514966093787059e-08,1.648407417730317e-08,1.0649999679402391e-08,3.591683741930139e-09
5,2,5.85882724081717e-08,1.0906493543593335e-08,9.679155209537659e-09,9.06054267049799e-09,3.278800091945766e-09
5,3,1.3609691748893303e-07,3.823959394630463e-09,4.9733854665102675e-09,6.3798760505610916e-09,3.8599038794536544e-09
5,4,2.177165763720268e-07,1.2824235917128401e-08,1.3894948181965323e-08,7.789685163600072e-09,3.3221719691763914e-09
5,5,2.7313905236860325e-07,2.4472536304069285e-08,3.5698733251783972e-09,5.494592696974206e-09,3.5347511817021047e-09
6,1,1.345104606219441e-07,1.748184819889396e-08,1.319476586108743e-08,7.472180419597709e-09,2.9660256912960187e-09
6,2,4.826649569547756e-07,4.842999096058552e-08,3.141898867892688e-08,1.1191464069290117e-08,3.577618321346118e-09
6,3,7.420169439604478e-09,6.555994170030492e-09,1.1202240571880734e-08,1.0459367875971394e-08,4.481080519043644e-09
6,4,2.788983001287653e-07,1.4824322728586754e-08,9.220333053461213e-09,7.802529220698664e-09,3.78056382545935e-09
6,5,2.3182937201131043e-07,9.584531717242931e-08,2.1791423572356824e-08,9.463769506365913e-09,3.6847051555252157e-09
7,1,4.5450773631939093e-07,6.383661636050262e-09,3.592455181595007e-09,6.22934070679938e-09,4.479692470485324e-09
7,2,1.3455314508783612e-07,3.2045156202061693e-09,6.9490586542300945e-09,7.29570014898991e-09,3.2419001614101478e-09
7,3,3.1782681276608927e-07,1.0914285502575924e-08,8.09276903907276e-09,5.451561866403196e-09,3.607529854438945e-09
7,4,4.1161453737426026e-08,5.652839673075919e-09,4.22609040571562e-09,1.7722248855733822e-09,2.8268322054410333e-09
7,5,1.503795299075252e-07,1.4006946863255084e-08,1.574394533304751e-08,3.876763887088616e-09,3.2333113359246177e-09
8,1,3.090151652588848e-07,7.74322868014369e-09,5.501963068802788e-09,6.141142784302271e-09,3.5118345879758454e-09
8,2,6.712392471891251e-07,4.61996633860969e-08,1.3762422568816719e-08,7.89396103641736e-09,3.545122878554154e-09
8,3,8.18841138775136e-08,7.0167078236335506e-09,5.069021251135494e-09,5.149828366886097e-09,3.006502214064532e-09
8,4,6.151964431926145e-07,5.716670355829049e-08,1.4852699344482646e-08,8.847686681039497e-09,4.6154747314530955e-09
8,5,3.997038905932132e-07,4.180748545094637e-08,1.3606311024232992e-08,8.98129870016488e-09,3.3640771107997447e-09
9,1,4.3877272760008396e-08,2.6095305200518964e-08,7.851022520197296e-09,6.083002060031182e-09,2.2195851573147473e-09
9,2,2.9323578023715317e-08,1.2730419486855721e-08,1.5070255347104672e-08,4.806466687649846e-09,2.328198425974936e-09
9,3,1.4652447408270995e-08,1.428633941109382e-08,1.5270709834569825e-08,4.676325260826307e-09,2.2775255417187552e-09
9,4,1.1121483707450212e-06,6.72669863728822e-08,1.0732773489629536e-08,5.433480302994489e-09,3.6317454857455884e-09
9,5,1.1656841984963664e-06,2.2714036022868264e-08,7.316852300159604e-09,5.8113880802974325e-09,3.827220634096586e-09
10,1,1.2305439135262003e-07,1.3273139872664628e-08,1.1830224432841474e-08,3.076485739309237e-09,2.81139542493742e-09
10,2,3.637186561687007e-07,8.877598455544573e-08,3.010145445766832e-08,8.407743159072077e-09,2.7646684257148545e-09
10,3,1.8326894133334814e-07,8.179497372104563e-09,3.4565107100702063e-09,5.046378675579973e-09,4.832980622602238e-09
10,4,1.1622883181000179e-07,2.291688387277699e-08,5.469247208148452e-09,4.5325258486594225e-09,5.903015650146749e-09
10,5,1.230670077751193e-08,1.0998977607870239e-08,1.5010197105939367e-08,9.428821883182914e-09,4.211562124472984e-09
11,1,5.724314298941349e-07,3.633233095473891e-08,1.625658727652546e-08,7.540944367275795e-09,4.018408199231171e-09
11,2,8.330552602530283e-08,1.0954613839282156e-08,1.2265212896232216e-08,9.399950904565217e-09,4.256505163004457e-09
11,3,6.219468496582559e-08,2.44060664052728e-08,9.446968526687403e-09,7.907115243283987e-09,3.942668511950407e-09
11,4,3.480160602958886e-07,8.522474341990253e-08,1.6045069053376378e-08,1.0073855578653309e-08,3.864188065667804e-09
11,5,1.5454372346654166e-06,2.471631503779412e-07,1.8174895593485045e-08,7.98243884365634e-09,6.818559391446309e-09
12,1,6.09322016490043e-08,1.2136442686073305e-08,8.685920474479012e-09,7.707069894800258e-09,3.443072137220865e-09
12,2,1.0237800936602832e-07,8.00285120266776e-09,6.454050942626988e-09,3.682785176009057e-09,2.914670189555166e-09
12,3,6.010590079039886e-07,8.839834464596458e-09,9.043146758349856e-09,7.3135307479022835e-09,2.714829366148269e-09
12,4,2.031663075052422e-07,4.2801468982942445e-08,7.341577108614074e-09,4.206908994322891e-09,3.1616573981207056e-09
12,5,5.151910842151251e-08,1.9860441476109365e-09,5.926299999387299e-09,7.415109392606226e-09,2.2389224366214214e-09
13,1,8.425022829564994e-08,8.249091313549911e-09,6.048913882325366e-09,4.8462722881815395e-09,3.046060287818343e-09
13,2,2.6408012531450476e-07,2.2711240702289076e-08,5.578123348108006e-09,6.8130999827753526e-09,3.0795103287283275e-09
13,3,2.5547112407663324e-07,3.311886420790565e-08,1.2498859264100948e-08,4.9823307201240965e-09,3.461922975738715e-09
13,4,1.3038079671713897e-07,1.1563740188463425e-08,4.7490448836957104e-09,1.0858539787664454e-08,3.7298268932045065e-09
