class,video,DE_Delta,DE_Theta,DE_Alpha,DE_Beta,DE_Gamma
1,1,-12.725560503279901,-16.83743385717425,-19.084385431909773,-20.591364895109237,-23.459866703757942
1,2,-9.461192764611193,-15.283624710436243,-16.261463790292247,-18.81595952379776,-21.40304826541886
1,3,-14.239641724207235,-17.774545524605628,-19.57975084218843,-21.31381503454228,-25.341111207848073
1,4,-12.75101782079067,-16.948540323317115,-19.001423271707967,-21.027148017119604,-24.195583180571575
1,5,-7.290859433427396,-14.22856394882098,-16.724240754319727,-18.243890493035252,-21.03008442999046
2,1,-8.744425448431324,-14.312600352724798,-16.309039588263058,-18.79468037581509,-21.451057256583393
2,2,-14.52508902090758,-18.68118933758179,-19.11113950348172,-21.388063991662026,-24.50933875378649
2,3,-15.619808907975557,-19.83540795911606,-17.487352009106406,-22.47932404286341,-24.916730040632608
2,4,-7.824155453715802,-14.021975032601665,-16.021841217728284,-18.156452120538365,-20.707347658247567
2,5,-8.840077260590606,-14.856130803203538,-16.554840659270393,-18.90712329266394,-21.37364589838277
3,1,-15.315405451968017,-19.02496711750567,-18.790285708472425,-21.632434762832332,-26.13512347409621
3,2,-18.035126325417718,-18.801696577407185,-19.209108277277316,-21.90659302666029,-25.562978733243533
3,3,-12.842774126434687,-18.116705801880432,-20.500962472497903,-21.477428440737015,-23.695895525649437
3,4,-13.87741919732149,-18.634510449114742,-21.85665621818775,-22.24872271974427,-25.74571397263404
3,5,-12.190696999088471,-18.43664393589723,-20.319145656138904,-21.440538039499735,-24.31050818054199
4,1,-14.746691192903604,-17.61550632967674,-19.37296343959312,-22.110323537302136,-25.528424704624143
4,2,-12.95440374428834,-17.395123070142926,-19.25474037312992,-21.854651237086998,-24.380092484518563
4,3,-12.836198119412225,-17.792127983694016,-18.120174854116613,-21.40164181415131,-23.484500291839826
4,4,-9.297267729719783,-14.862953531847463,-16.29578664451868,-18.45690700007124,-21.46520397618836
4,5,-12.841293079960042,-17.793192772222767,-19.608320070680968,-21.27785394702638,-24.525077789078942
5,1,-12.763371732713464,-17.919156350445803,-19.669542939816754,-22.385051413080916,-26.01278700365097
5,2,-11.565097052506575,-18.517589069319442,-19.564138120257464,-21.84634206693456,-24.59612103780229
5,3,-15.533963803194144,-19.630534624707384,-19.388372333641655,-21.226932464429854,-25.158348142511407
5,4,-7.071405752961348,-12.9293089055705,-14.879627505803416,-17.008600722332197,-19.783366527967523
5,5,-8.187481465139378,-13.397709446983379,-14.930432477535755,-17.529216360460477,-20.30071672797477
6,1,-10.416977612163437,-15.851715933706917,-18.17107847171183,-19.94242906120327,-22.529675316853048
6,2,-8.935964004252362,-14.28797522706033,-16.130601676468913,-19.356791934192103,-21.691509669734177
6,3,-14.631951993789295,-16.775394495289838,-17.72238798116938,-21.051221351064683,-24.609566162285272
6,4,-15.408253862436082,-17.89616890522276,-18.8216413788833,-21.415772051204463,-25.07645464647465
6,5,-10.355893275842753,-15.833345455637087,-18.42379458198245,-20.237832479561334,-23.11157185749758
7,1,-12.452305765106992,-18.87392487507994,-17.96565159748516,-21.65054723050455,-24.778157009790498
7,2,-12.193483283763836,-15.665863475156202,-17.563676949459786,-20.00939028799088,-22.85851514783666
7,3,-15.156339208687749,-18.373758453750078,-18.576394669379447,-20.71981494490021,-23.493822448768768
7,4,-12.573296434086092,-18.101490632862355,-19.684341727969535,-20.992093755873064,-24.777176404861745
7,5,-12.915459983097826,-17.157461423744746,-17.858848647021972,-22.095845580402322,-24.607844889617834
8,1,-13.414700429867118,-16.73900619283854,-17.944280798853775,-20.674354463911374,-23.888110126767604
8,2,-16.00552809594131,-18.007066676506323,-19.030172717175134,-21.67455565453451,-24.81982109970687
8,3,-13.367591721267894,-18.264440219024348,-19.830977448382523,-21.796842344638787,-24.300904104839276
8,4,-14.849729168318891,-19.42082271984912,-20.157082701184443,-22.205971181339038,-25.854559986419655
8,5,-14.755355195643045,-18.620881182029585,-20.0517359475778,-22.57281444733863,-25.424522582493346
9,1,-17.782114810767524,-18.527565055690044,-19.769239110767174,-21.436136900601404,-24.53170555319431
9,2,-13.878716285323708,-17.197720789677245,-19.099631186522014,-21.550764366949384,-25.132056478855578
9,3,-10.434316762170809,-17.20968426854138,-18.94529753133282,-21.462771671221812,-24.063943786713175
9,4,-10.848862951250917,-15.033588935132771,-17.27871891252608,-19.16748127051244,-21.906773716038835
9,5,-9.907709578903225,-15.064278514371798,-16.931057122193995,-18.975838825064784,-21.60947366618758
10,1,-12.61828967309214,-16.865774449871132,-18.995108875309533,-20.970499993520928,-24.287740746438057
10,2,-11.721397404097452,-16.85541537496888,-17.199174826028745,-20.80819775710988,-23.461363982629756
10,3,-12.391854296039428,-18.434626384074317,-18.462142203124117,-20.49444240596807,-24.180616330066847
10,4,-16.438544251679527,-20.529397342729954,-20.974505237350947,-21.879057460571236,-24.19331243438175
10,5,-7.508904289951352,-13.870023669359746,-15.319768568553506,-17.88749064887834,-20.669541511084034
11,1,-13.561350950163998,-16.937952359845394,-18.821859147565984,-19.09402252453921,-21.620934816325622
11,2,-10.631160168596896,-16.334143061468513,-18.08022985019341,-20.20217644346939,-22.81765283048887
11,3,-12.131808845707335,-16.026786448860236,-20.15612010443418,-21.59910212820348,-24.357273820381568
11,4,-14.456408477816362,-18.05445688720164,-18.400403212775014,-20.919127127316436,-24.4138306705011
11,5,-14.76646410114736,-16.81087529118613,-18.897320421895532,-20.61940015099853,-23.153608276243126
12,1,-12.881920529203272,-16.40370031222691,-18.160038364430196,-21.32872923392909,-23.63329575652367
12,2,-8.634683555719068,-14.403739737729428,-17.838582766605892,-18.848012557297668,-21.868326667711145
12,3,-10.43417163193025,-15.191195322584173,-16.90413535716905,-20.249319844379027,-22.757483752235473
12,4,-17.542216232576852,-17.682990091543918,-18.79973330992929,-20.981971353661436,-25.328600420654386
12,5,-6.242656563470695,-12.967016799668933,-14.916066657303407,-16.987743974527817,-19.664219186305143
13,1,-12.343230989260668,-16.198208798618193,-18.50063796964982,-20.634421981574054,-23.761604256899858
13,2,-9.977728927245566,-15.525163332963704,-16.780214705407143,-20.023537860621687,-22.42740477004452
13,3,-15.09339321673419,-18.408212334530944,-18.860724256199788,-22.14117277253845,-25.381590808851115
13,4,-16.432827105500053,-18.162006765214578,-18.95427219150217,-21.865414677186,-24.52500352817088
13,5,-18.461803902368295,-18.48914613087221,-20.24760574013725,-22.23863857877291,-24.413679845254173
14,1,-16.558985127122508,-17.42990298968677,-18.08316206624301,-20.21074603691874,-22.534684986846784
14,2,-12.79079225950348,-17.327775179667604,-19.729292976239677,-21.22378236180557,-24.145392809514824
14,3,-18.985828407141494,-18.861723129113035,-19.86794078883185,-21.48232373492185,-25.00895004388388
14,4,-13.237414380881356,-16.833623809558947,-17.765619209423384,-22.264737996648442,-25.148438238406555
14,5,-15.31670103575382,-17.051308774051744,-18.991540491168166,-20.836260554167858,-24.891698296731192
15,1,-18.668276252189756,-19.730328205710254,-19.004754451464237,-22.122413258328397,-25.122142435060262
15,2,-9.816038125611684,-14.746208407534734,-16.339230847198326,-19.237348678259917,-21.62076216721924
15,3,-14.260272092077429,-17.299475910084325,-18.379603513854423,-22.555948849918526,-25.237368865772055
15,4,-9.03183458719461,-15.494273362704213,-16.688865417492554,-18.675836186996605,-21.557897342018556
15,5,-14.310286256335173,-18.324801106434144,-18.936050498670777,-22.314906867282993,-24.941023624428812
16,1,-14.481332164006027,-18.83748027969329,-19.95463721955436,-22.47246995933929,-25.110160129208744
16,2,-18.313093047985134,-19.114071871328118,-19.740439573169944,-21.740120318253368,-25.18508498467079
