class,video,PSD_Delta,PSD_Theta,PSD_Alpha,PSD_Beta,PSD_Gamma
1.0,1.0,7.001886941699589e-06,8.206547545974337e-08,1.085847715810051e-08,4.388032666977998e-09,2.849862022210405e-09
1.0,2.0,1.220211257676258e-05,5.2068861347576966e-08,8.356285413000606e-09,6.231247887360183e-09,2.1953704530097465e-09
1.0,3.0,8.929041920685741e-06,7.031717391714623e-08,1.5255060492194232e-08,3.8555489470532155e-09,3.1233498401864367e-09
1.0,4.0,1.5201983879081715e-07,1.9361948630604917e-08,1.200630103443782e-08,6.103530287552572e-09,2.3284665851800945e-09
1.0,5.0,2.386156370207664e-06,7.354794942081839e-08,1.4116062834279e-08,7.168611866350483e-09,2.5577593053995867e-09
2.0,1.0,3.573251002306521e-06,7.43808182374283e-09,4.866562751395567e-09,4.148494164713154e-09,1.5942859617908072e-09
2.0,2.0,5.72472888534938e-06,8.209692417499579e-08,7.569696969189109e-09,7.0187553588048194e-09,1.5472026946435829e-09
2.0,3.0,5.9290124633719045e-06,3.6769203941768816e-08,3.2479594124239867e-09,3.365958680205298e-09,2.7618171588108204e-09
2.0,4.0,3.2858422541352243e-06,1.0770023154353596e-07,1.2422250258875964e-08,5.644766920810096e-09,2.0738258079058734e-09
2.0,5.0,1.7167663565456497e-06,3.038268003018101e-08,4.318179161943129e-08,4.701607820766994e-09,2.0397891358865693e-09
3.0,1.0,3.069599553706561e-06,8.965699564438826e-08,2.61167689901104e-08,4.134092602571144e-09,2.8648847840312274e-09
3.0,2.0,4.091060073262044e-06,1.731658672049459e-08,8.86369763011156e-09,5.7838964883389594e-09,3.1446427043049887e-09
3.0,3.0,7.418800035330949e-07,5.198903295845344e-08,1.0020619546678926e-08,5.100848153769913e-09,1.6264703304388961e-09
3.0,4.0,9.95278078410023e-08,1.2825102991959664e-08,1.8661061053375467e-08,4.519485499212138e-09,1.959940061756898e-09
3.0,5.0,1.376185931093656e-06,1.1068955258254104e-07,1.8424919319069845e-08,2.8563899095808995e-09,1.8873719032524304e-09
4.0,1.0,3.328507143845372e-06,3.806946180703686e-08,7.52089005582096e-09,3.1118680960940934e-09,1.7940753775186217e-09
4.0,2.0,1.1551696008551327e-06,1.1347061700406801e-08,1.4760943087986226e-08,3.989415042689753e-09,1.2524679491168212e-09
4.0,3.0,7.186668081940631e-07,4.6331909586369465e-09,1.0546086450587445e-08,4.442764733534526e-09,1.3032439787654268e-09
4.0,4.0,2.8478134841968286e-07,1.810258619731488e-08,1.1257126896119562e-08,4.921315630868315e-09,1.9360348189020823e-09
4.0,5.0,5.171691402049854e-08,9.362044018656945e-09,1.842795893244849e-08,2.3734145674990863e-09,1.7281595640575482e-09
5.0,1.0,1.1060149470723057e-07,3.748463067078668e-08,5.637135282383798e-08,2.473496394852713e-09,1.8042970095800174e-09
5.0,2.0,4.89640948412808e-08,2.6352939589071533e-08,5.0542441606007755e-09,3.437679817331947e-09,1.9233455582679815e-09
5.0,3.0,5.0202399848408826e-08,4.1643535864890506e-08,2.0579360541098614e-08,2.5888483098744835e-09,1.1982809667040154e-09
5.0,4.0,1.2899944300681168e-07,3.1740781275441124e-08,7.674636681991933e-09,3.1412184331371423e-09,1.6690625841307567e-09
5.0,5.0,1.240580389108182e-07,2.5569888826642675e-08,1.954644097789683e-08,2.730282718349257e-09,1.0410370452070265e-09
6.0,1.0,1.8607006461453415e-07,6.932300092633584e-08,1.4712237938494318e-08,3.946024404156906e-09,1.3699961013612103e-09
6.0,2.0,2.0826620289003245e-07,1.142588963715453e-07,2.4008369059836122e-08,4.043211849061694e-09,1.2430329540568772e-09
6.0,3.0,8.616462964010852e-09,5.897588564726636e-09,5.631182983978291e-09,2.529811725100585e-09,1.8008960330579705e-09
6.0,4.0,7.729834603641267e-07,2.5798308859126383e-08,2.2377732706930072e-08,3.278297871778917e-09,1.755516334079903e-09
6.0,5.0,2.1348324418367533e-07,1.8518702087141912e-08,7.341544694890758e-09,2.2988103880695e-09,1.5777075584863521e-09
7.0,1.0,1.0277862648363382e-07,4.6876117901094636e-08,2.8830131104291834e-08,2.823011061119073e-09,1.4785061447288965e-09
7.0,2.0,2.387552355477428e-07,3.0382664633812414e-08,1.416992691398062e-08,4.590940882684054e-09,1.1206991757799306e-09
7.0,3.0,3.8520400834415374e-07,1.167641088416414e-08,1.180208551030322e-08,3.43864185200262e-09,1.465048568364849e-09
7.0,4.0,9.001019001520619e-07,1.199383880833997e-07,1.4184835513291204e-08,5.7209439947882385e-09,1.3608924946180463e-09
7.0,5.0,2.984429175278482e-07,8.952537781774733e-08,2.0796710969431803e-08,8.25246694971373e-09,1.4910818893455683e-09
8.0,1.0,4.892938184288751e-07,1.5265808709307297e-07,1.3750850920596484e-08,9.410418348631037e-09,1.37131573476873e-09
8.0,2.0,2.135389649536915e-07,9.939916333198738e-08,2.9751025833866876e-08,2.086990497091273e-09,1.6634106392702006e-09
8.0,3.0,4.174752347624687e-07,1.6296055403124053e-08,3.17614719602319e-08,4.946106001746185e-09,8.804995855002499e-10
8.0,4.0,1.019449755886644e-06,4.180319298742146e-08,1.462961811360652e-08,2.9602123555215822e-08,1.4771046045784702e-08
8.0,5.0,5.797258883234165e-07,9.718079581594328e-08,2.4444165016560818e-08,2.7103670966267465e-08,8.44027387382772e-09
9.0,1.0,1.6903008297460792e-07,1.5081095242722054e-08,1.5018707673843475e-08,1.1436475834070936e-08,2.857651035014654e-09
9.0,2.0,1.8217312334346688e-07,4.382253859302819e-08,7.611923652957126e-09,7.253987108485485e-09,3.820249092516795e-09
9.0,3.0,5.337875346818606e-08,3.569097509283751e-08,2.498615974906658e-08,8.438833580592821e-09,2.9261983472490297e-09
9.0,4.0,2.4430023259186763e-06,5.593741198434467e-08,6.940332882750124e-09,5.810370596984868e-09,1.7213313237320853e-09
9.0,5.0,4.171701413013978e-06,4.618039094017281e-08,1.757252072554641e-08,3.0799849211920756e-09,1.7281436792693804e-09
10.0,1.0,1.0586377677599103e-06,2.982951007996568e-08,1.1666875935913106e-08,4.961812473555265e-09,1.348887734704487e-09
10.0,2.0,4.352982619897955e-07,8.992252656494832e-08,1.833836508720551e-08,3.509947368726519e-09,1.5717951096912555e-09
10.0,3.0,1.0772447863982909e-06,2.11658702240163e-08,1.8069291283898347e-08,5.069634571942046e-09,1.8154533858425267e-09
10.0,4.0,1.6144462994079667e-07,1.505380230860122e-08,7.334691527118143e-09,2.41207206674629e-09,1.4269359350157998e-09
10.0,5.0,8.602334341902168e-08,5.0180737397205284e-08,7.555868783398374e-09,3.2224844645662593e-09,8.628428579743534e-10
11.0,1.0,2.44838468138202e-06,2.1000072260643836e-08,1.7364238340471506e-08,4.000095278467909e-09,1.1902476642335255e-09
11.0,2.0,2.4135002000261383e-07,3.1654125933543185e-08,8.501411345664357e-09,5.713541514669699e-09,2.0511285537171984e-09
11.0,3.0,6.08569599536719e-08,5.168453435510368e-08,1.0640705498277272e-08,2.481707601901463e-09,2.046309690003259e-09
11.0,4.0,1.7863433058017963e-06,1.9353595115140793e-07,2.2604322300222952e-08,3.2767097783337338e-09,1.3679608687588918e-09
11.0,5.0,1.7822084218763411e-06,1.7368455382427928e-08,1.9763738251445036e-08,3.8627437001021764e-09,1.3973328262935168e-09
12.0,1.0,2.885053359258355e-06,3.364059131299837e-08,1.4945198467336333e-08,4.752736453148301e-09,2.342192862656534e-09
12.0,2.0,2.8270017622899974e-06,6.201228782002421e-08,1.7186196139874665e-08,3.6149152647556625e-09,1.4587918519720487e-09
12.0,3.0,2.385292009914208e-07,2.2330893779905433e-08,1.22655253611877e-08,6.141455135309995e-09,1.937701008890464e-09
12.0,4.0,2.5197726367968034e-07,4.493774408946282e-08,3.319876530487214e-08,3.6275964793089793e-09,2.22362392899353e-09
12.0,5.0,1.3806474475010154e-06,3.4940751167822914e-08,1.296579546779681e-08,3.950835314220216e-09,2.3372015523175295e-09
13.0,1.0,1.409229788139329e-06,3.1218504930056884e-08,5.053391996397216e-08,3.1635547149393696e-09,1.3984833574391849e-09
13.0,2.0,7.495976866221556e-07,4.228176941888265e-08,2.5197476339306377e-08,7.90916886072125e-09,2.1087381846436208e-09
13.0,3.0,1.8921821903654587e-07,6.815509760080523e-08,1.388398154786901e-08,4.794929704620699e-09,1.2568144706431155e-09
13.0,4.0,8.324327881151115e-07,2.2546458248100482e-08,1.5597753889664862e-08,1.3976231141951937e-09,1.3922632673874336e-09
